record_id,cluster,domain_clean,phone_clean,address_clean
C34104,0,,,
C43930,0,,,
C41032,-1,,,
C44490,-1,,,
C27537,0,,,
C47297,0,,,
C21523,0,,,
C35342,0,,,
C43739,0,,,
C29668,0,,,
C45299,0,,,
C42544,0,,,
C43159,0,,,
C26985,0,,,
C39064,0,,,
C34229,0,,,
D00001,0,,,
C38712,0,,,
C44965,0,,,
D00002,0,,,
C36355,0,,,
C46257,0,,,
C39502,0,,,
C36294,0,,,
C43185,0,,,
C47599,0,,,
C46792,0,,,
C21710,0,,,
C47543,0,,,
C31324,0,,,
C39503,0,,,
C47600,0,,,
C38515,0,,,
C38516,0,,,
C47601,0,,,
C45870,0,,,
C25543,0,,,
C40365,0,,,
C41806,0,,,
C35740,0,,,
C52094,0,,,
C42186,0,,,
C36301,0,,,
C47604,0,,,
C30254,0,,,
C26314,0,,,
C26705,0,,,
C39504,0,,,
D00003,0,,,
C47605,0,,,
C47606,0,,,
C21524,0,,,
C43464,0,,,
C28675,0,,,
C38300,0,,,
C46793,0,,,
C46773,0,,,
C24913,0,,,
C23582,0,,,
C32553,0,,,
C21525,0,,,
C34001,0,,,
C34004,0,,,
C24090,0,,,
C25610,0,,,
C24452,0,,,
C41649,0,,,
C47608,0,,,
C30972,0,,,
C41496,0,,,
C41567,0,,,
C23527,0,,,
C27553,0,,,
C40944,0,,,
D00004,0,,,
C47567,0,,,
C39506,0,,,
C47610,0,,,
C34796,0,,,
C35045,0,,,
C31379,0,,,
C34230,0,,,
C47611,0,,,
C42206,0,,,
C31858,0,,,
C36558,0,,,
C44491,0,,,
C28359,0,,,
C29066,0,,,
C36640,0,,,
C28953,0,,,
C45454,0,,,
C36221,0,,,
C29335,0,,,
C28698,0,,,
C50989,0,,,
C30809,0,,,
C39032,0,,,
C40862,0,,,
C40393,0,,,
C27274,0,,,
C23319,0,,,
C40418,0,,,
C35898,0,,,
C27761,0,,,
D00005,0,,,
C37489,0,,,
C46519,0,,,
C26786,0,,,
C36631,0,,,
C43001,0,,,
C36955,0,,,
C43187,0,,,
C40844,0,,,
C51892,0,,,
C46794,0,,,
C21526,0,,,
C44823,0,,,
D00006,0,,,
C25765,0,,,
C34005,0,,,
C38027,0,,,
C39507,0,,,
C39508,0,,,
C28024,0,,,
C21527,0,,,
C28612,0,,,
C47614,0,,,
C21528,0,,,
C23375,0,,,
C35736,0,,,
C45152,0,,,
C23478,0,,,
C23693,0,,,
C26112,0,,,
C47617,0,,,
C38677,0,,,
C41646,0,,,
C46034,0,,,
C28371,0,,,
C34864,0,,,
C46795,0,,,
C28226,0,,,
C27531,0,,,
C33095,0,,,
C47040,0,,,
C29799,0,,,
C32248,0,,,
C44972,0,,,
C31279,0,,,
C22780,1,,,
C28981,0,,,
C35309,2,,,
C42261,0,,,
C39509,0,,,
C27821,0,,,
C23913,0,,,
C39510,0,,,
C47301,0,,,
C25200,0,,,
C42228,0,,,
C47302,0,,,
C47620,0,,,
C39511,0,,,
C24777,0,,,
C35773,0,,,
C45070,0,,,
C39276,0,,,
C39512,0,,,
C23678,0,,,
C42319,0,,,
C39065,0,,,
C35392,0,,,
C21529,0,,,
C34029,0,,,
C51706,0,,,
C45455,0,,,
C23570,0,,,
C27742,0,,,
C31864,0,,,
C39513,0,,,
C26067,0,,,
C33995,0,,,
C34126,0,,,
C23855,0,,,
C39514,0,,,
D00007,0,,,
C21530,0,,,
C40525,0,,,
C51634,0,,,
C43967,1,,,
C36718,0,,,
C42363,0,,,
C36130,0,,,
C46104,0,,,
C43526,0,,,
C26800,0,,,
C29752,0,,,
C47623,0,,,
C36956,0,,,
D00008,0,,,
C39515,0,,,
C42000,0,,,
C28606,0,,,
C34105,0,,,
D00009,0,,,
C27735,0,,,
C40361,0,,,
C30182,0,,,
C21531,0,,,
D00010,0,,,
C47625,0,,,
C34865,0,,,
C38518,0,,,
C34047,0,,,
C28991,0,,,
C38519,0,,,
C43188,0,,,
C41373,0,,,
C47626,0,,,
C43189,0,,,
C47303,1,,,
C32320,0,,,
C23939,0,,,
C32094,0,,,
C51007,0,,,
C47627,0,,,
C24942,0,,,
C29908,0,,,
C40999,0,,,
C42064,0,,,
C24744,0,,,
C31736,0,,,
C32475,0,,,
C37522,0,,,
C44037,0,,,
C36000,0,,,
D00011,1,,,
C29504,0,,,
C45071,2,,,
D00012,0,,,
C24058,0,,,
C40643,0,,,
C47630,0,,,
D00013,0,,,
C47631,0,,,
C47632,0,,,
C47633,0,,,
C27755,0,,,
D00014,0,,,
C34002,0,,,
C47304,-1,,,
C46637,-1,,,
C34630,0,,,
C47634,0,,,
C32185,0,,,
C45855,0,,,
C25448,0,,,
C24768,0,,,
C51570,0,,,
C51615,0,,,
C44882,0,,,
C47636,0,,,
C26092,0,,,
C27658,0,,,
C43190,0,,,
C27557,0,,,
D00015,0,,,
C33261,0,,,
D00016,0,,,
D00017,0,,,
C39516,0,,,
C39517,0,,,
C33655,0,,,
C30553,0,,,
C30144,0,,,
C21533,0,,,
C22836,0,,,
C25556,0,,,
C21534,0,,,
C51263,0,,,
C44085,0,,,
C42731,0,,,
C30404,0,,,
D00018,0,,,
C51447,0,,,
C35772,0,,,
C29447,0,,,
C31112,0,,,
C34775,0,,,
C42195,0,,,
C25559,0,,,
C47638,0,,,
C26781,0,,,
C38373,0,,,
C38029,0,,,
C32665,0,,,
D00019,0,,,
C25852,0,,,
C32494,0,,,
C32621,0,,,
C35863,0,,,
C36942,0,,,
C47641,0,,,
C23997,0,,,
C34831,0,,,
C28583,0,,,
C25202,0,,,
C41510,0,,,
C31143,0,,,
C41655,0,,,
D00020,0,,,
C26877,0,,,
C34143,0,,,
C22837,0,,,
C43522,0,,,
C39518,0,,,
C38030,0,,,
C21535,0,,,
C42809,0,,,
C30021,0,,,
C47645,0,,,
C21537,0,,,
C25919,0,,,
C31051,0,,,
C34231,0,,,
C21517,0,,,
C32786,0,,,
C37064,0,,,
C38031,0,,,
D00021,0,,,
C42540,0,,,
C43142,0,,,
C40560,0,,,
C27572,0,,,
C47646,0,,,
C24676,0,,,
C34317,0,,,
C47647,0,,,
C26268,0,,,
C34998,0,,,
C25743,0,,,
C44300,0,,,
C26609,0,,,
C22838,0,,,
C25091,0,,,
C29125,0,,,
C43283,0,,,
C32172,0,,,
C25080,0,,,
C38867,0,,,
C38032,0,,,
C42558,0,,,
C29932,0,,,
C34259,0,,,
C39435,0,,,
C43162,0,,,
C31782,0,,,
C23965,0,,,
C31420,0,,,
C51238,0,,,
C26523,0,,,
C34043,0,,,
C28671,0,,,
C46796,0,,,
C43520,0,,,
C43810,0,,,
D00022,0,,,
C44904,0,,,
C39519,0,,,
C45456,0,,,
C33099,0,,,
C23463,0,,,
D00023,0,,,
C21538,0,,,
C34866,0,,,
C33710,0,,,
C47080,0,,,
C35177,0,,,
C47305,0,,,
C41893,0,,,
C33147,0,,,
C38520,0,,,
C50644,0,,,
C47306,0,,,
C43886,0,,,
C46252,0,,,
C41620,0,,,
C23605,0,,,
