record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2
C33610,D01236,1,tech on,tech on
C37147,D00458,1,envoy,envoy
C47481,D01171,1,spk and associates,spk and associates
C50220,D01236,1,tech on,tech on
D00329,C30666,1,cyber dream technologies,cyber dream technologies
D00386,C47377,1,digital realty,digital realty
D00666,C35500,1,it services,it services
D00681,C31560,1,j and b technologies,j and b technologies
D00681,C38553,1,j and b technologies,j and b technologies
D01030,C34953,1,r3,r3
D01080,C29104,1,systems,systems
D01080,C34719,1,systems,systems
D01080,C41048,1,systems,systems
D01210,C23042,1,tabula rosa systems,tabula rosa systems
D01306,C24341,1,technologies,technologies
D01306,C27806,1,technologies,technologies
D01306,C31574,1,technologies,technologies
D01306,C43697,1,technologies,technologies
D01306,C47468,1,technologies,technologies
C45162,D00198,0.991304348,california tritechnical,california tritechncial
D00754,C51884,0.991304348,local network solutions,local network solution
C35240,D01179,0.985714286,stambaughness,stambaugh ness
D00883,C33206,0.984615385,new comutech,new computech
C26686,D00976,0.983333333,pka technologies,pk technologies
D00957,C38082,0.981818182,consultants,consultant
D00340,C34172,0.98,cybergarde,cybergard
D00370,C33169,0.977777778,datashops,datashop
C34984,D01249,0.973913043,technology solutions,technology solutions nm
D01249,C24631,0.973913043,technology solutions nm,technology solutions
D01249,C30971,0.973913043,technology solutions nm,technology solutions
D01249,C37783,0.973913043,technology solutions nm,technology solutions
D01249,C50254,0.973913043,technology solutions nm,technology solutions
C28016,D00733,0.973333333,lancord systems,lanco systems
C49143,D00733,0.973333333,lancord systems,lanco systems
D00555,C40507,0.971428571,govaged,govage
C51569,D01039,0.966666667,rd4 technologies,rd3 technologies
D00475,C45543,0.966666667,exaprobe usa,exaprobe sas
D00867,C30729,0.966666667,netexe,netex
D00439,C39118,0.964705882,elite networks us,elite networks
C39981,D00768,0.964389234,mainstream technology,mainstream technologies
D00872,C40051,0.963970588,netsec solutions,netsafe solutions
D00040,C36910,0.963756614,advanced network consulting,advanced network consultants
D00040,C47695,0.963756614,advanced network consulting,advanced network consultants
C37628,D00528,0.962727273,frontline technology,frontline technologies
C34834,D00140,0.961666667,bell integrator,bell integration
D01248,C35525,0.961666667,technology cure,technology crest
D01248,C50243,0.961666667,technology cure,technology crest
C38194,D00945,0.961111111,ownit,own it
C34633,D00225,0.96,centricsit,centricmit
C42661,D00056,0.96,aits1,aits
D00342,C35718,0.96,cybersecom,cybersec
D01250,C50259,0.96,techplusus,techplus
D00266,C40772,0.959333333,cmit solutions of fremont,cmit solutions of edmond
C37997,D00681,0.958888889,j and b technology,j and b technologies
D00398,C46540,0.958799489,diversified computer services,diversified computer resources
D01207,C25937,0.957894737,systems integrators,systems integration
C25442,D00340,0.957777778,cybergear,cybergarde
C27816,D00340,0.957777778,cybergear,cybergarde
C39022,D00340,0.957777778,cybergear,cybergarde
C48307,D00340,0.957777778,cybergear,cybergarde
C24087,D00667,0.956043956,it specialties,it specialists
D00772,C34922,0.955731225,manhattantechsupportcom,manhattan tech support
C29296,D00485,0.955555556,faction 8,faction
D00075,C45253,0.955555556,amplifire,amplifi
D00824,C49357,0.954131054,mitchell networks solutions,mitchell network solutions
D00028,C24749,0.953846154,access online,access one
C23624,D00987,0.953513072,precision it pros,precision it group
D00230,C35914,0.952777778,chactech,chacetech
D00230,C48079,0.952777778,chactech,chacetech
D01160,C39194,0.952380952,sondhi solutions exos,sondhi solutions
D01160,C50067,0.952380952,sondhi solutions exos,sondhi solutions
C23406,D00619,0.952,infinity technology,infinity technology group
C48891,D00619,0.952,infinity technology,infinity technology group
D00642,C22940,0.950788458,integrated communications plans,integrated communication solutions
D00642,C36012,0.950788458,integrated communications plans,integrated communication solutions
D00642,C48930,0.950788458,integrated communications plans,integrated communication solutions
C24627,D00876,0.950242424,network consulting group,network consultants group
C49471,D00876,0.950242424,network consulting group,network consultants group
C47520,D00256,0.95,cloudian,cloudi
C51627,D00257,0.95,cloudify,cloudifi
D00637,C44361,0.95,insource solutions group,insource solutions
D00957,C25698,0.946666667,consultants,consultantgurus
C33203,D00878,0.945726496,network security solutions,network security consultans
D01169,C27525,0.945454545,spectrum av,spectrum
C45353,D01249,0.944147157,technology solutions of kc,technology solutions nm
C45117,D00777,0.943636364,marketstar,marketspark
D00743,C44273,0.943636364,level up it,level up 2
D00294,C25762,0.942857143,computer world,computer works
D00294,C32143,0.942857143,computer world,computer works
D00775,C25053,0.942857143,marcoby,marco
D00563,C24758,0.942564103,h and amp a security solutions,h and a security solutions
D00563,C48760,0.942564103,h and amp a security solutions,h and a security solutions
C35547,D01110,0.941176471,security infrastructures,security infrastructure safeguards
D00891,C35650,0.939705882,nexus consulting,nexus consultants
D00891,C46006,0.939705882,nexus consulting,nexus consultancy
D00891,C49520,0.939705882,nexus consulting,nexus consultants
D00064,C38716,0.938961039,alliance optix,alliance it
D00258,C35877,0.937826087,cloudpiles technologies,cloudnexus technologies
D00258,C48130,0.937826087,cloudpiles technologies,cloudnexus technologies
C25583,D01106,0.937777778,securemyne,securement
D01149,C29903,0.937777778,snowman technologies,snowcap technologies
C22374,D00999,0.9375,progressive technology,progressive technology solutions
C23830,D00800,0.9375,meredith it,meredith digital
D00293,C37979,0.9375,computer professionals unlimited,computer professionals
C40734,D00620,0.936700337,information technology core,information technology consulting
D00880,C22255,0.935833333,networking pulse,networking labs
C25271,D00776,0.934615385,mark3 systems,mark iii systems
D00036,C24780,0.933925037,advanced computer systems,advanced computer specialists
C30093,D00997,0.933846154,procureit usa,procure it
D00146,C39024,0.933333333,beyond computers,beyond computer services
D00146,C47929,0.933333333,beyond computers,beyond computer services
D00350,C33192,0.933333333,cymbrella,cymbel
D00350,C48315,0.933333333,cymbrella,cymbel
D00910,C34340,0.933333333,novatech msp,novatech
D00910,C49554,0.933333333,novatech msp,novatech
D01226,C35844,0.933333333,teamlogic it 60925,teamlogic it
D00643,C41380,0.932616487,integrated technology solutions,integrated technology group
D01271,C51821,0.931649832,cet group,cetra group
D00518,C39445,0.930769231,fortress networks,fortress network solutions
C45403,D00234,0.930555556,chasetek,chasetech
D00642,C31726,0.930422505,integrated communications plans,integrated communication networks
D00642,C48929,0.930422505,integrated communications plans,integrated communication networks
D00212,C45163,0.929901961,case technology services,case technologies
D00268,C40818,0.92945845,cmit solutions of portland central,cmit solutions of pleasanton
D00236,C45087,0.929411765,cibernetica group,cibernetica
C34613,D00542,0.928571429,global it,global insight
C47400,D00542,0.928571429,global it,global insight
D00990,C42385,0.928571429,premier technology solutions,premier technology
D00146,C38529,0.928,beyond computers,beyond computer solutions
D00643,C28697,0.927956989,integrated technology solutions,integrated technology services
D00188,C26524,0.927905428,business technology professionals,business technology partners
D00188,C45793,0.927905428,business technology professionals,business technology partners
C24315,D01080,0.927272727,systemhouse,systems
C38566,D00998,0.927272727,prodigyteks,prodigy
