record_id_1,record_id_2
C34229,C47297
C38516,C38515
C25543,C38712
C36221,C21525
C28612,C27274
C36956,C36130
C51007,C23939
C29908,C24942
C35772,C43190
C29447,C27557
C25559,D00015
C47638,C33261
C32621,D00016
C35863,D00017
C36942,C39517
C47641,C30404
C34233,C32377
C39252,C32643
C42931,C27162
C47728,C35335
C51445,C30344
C32656,C46230
C34366,C47742
D00068,C36889
C38044,C35274
C47768,C28767
C40971,C24866
C30207,C47766
C47591,C25303
C21619,C36057
C21623,C34353
C42848,C26781
C28828,C47214
C29265,C39579
C28237,C38373
C45417,C51844
C43817,C42033
C27835,C36413
C23778,C44501
C25474,C44082
C35430,C26683
C47923,C26708
C38059,C41809
C28983,C23952
C23868,C43677
C27254,D00125
C32223,C30696
C51078,C32809
C23400,C45477
C37140,C30982
C22872,C24572
C38066,C41946
C32060,C39630
C41019,D00191
C47022,C43117
C32451,C29871
C35156,C36179
C30577,C30036
C46267,D00208
C25736,D00217
C51542,C23414
C42306,C27046
C32097,C38360
C34302,D00240
C22786,C22785
C39092,C29206
C26680,C47562
C51486,C26764
C47293,C23550
C35911,C30736
C28294,C48139
C40719,C28181
C46720,C21615
C23364,C28871
C21749,C29817
C34176,C29818
C44509,C21752
C26271,C25631
C28193,C33156
C27891,C40783
C31376,C30873
C22886,C42158
C36023,C33072
C34838,C30115
C24773,C36556
C32373,C38432
C48209,C34079
C39686,C32562
C29451,C24226
C30572,C39099
C21769,C38079
C39688,D00295
C32857,C31875
C34304,C29408
C47049,C31538
C25011,C25680
C30807,C21798
C26078,C32194
C27634,C37055
C31026,C30246
C28887,C46819
C51865,C32939
C38086,C39244
C45773,C32312
C36019,C24677
C32479,C44724
C32271,C31180
C24844,C46452
C38087,C41114
C45376,C44445
C33684,C48299
C24587,C44911
D00344,D00335
C48319,C44635
C39712,C46535
C32671,C41334
D00361,C45020
C21823,C25747
C30289,C39719
C27174,C25090
C23427,C30661
C30282,C41564
C45094,C35012
C43298,C45063
C29274,C31718
C28306,C26292
C43737,C48461
C35681,C40603
C23663,C34826
C39752,C38379
C47585,C48530
C23103,C43420
C27355,C25830
C21897,C36201
C48566,C42403
C38116,C42376
C22793,C24830
C22794,C23243
C51914,C22792
C21912-549,C21912-358
C21912-333,C21912-353
C21912-339,C21912-332
C21912-340,C21912-356
C21912-007,C21912-321
C21912-404,C21912-377
C21912-438,C21912-437
C21912-326,C21912-327
C21912-054,C21912-355
C21912-444,C21912-446
C21912-389,C21912-440
C21912-447,C21912-426
C21912-433,C21912-443
C21912-431,C21912-429
C21912-384,C21912-273
C21912-477,C21912-272
C21912-226,C21912-436
C21912-231,C21912-434
C21912-221,C21912-357
C21912-323,C21912-388
C21912-414,C21912-442
C21912-227,C21912-233
C21912-212,C21912-224
C21912-238,C21912-383
C21912-470,C21912-457
C21912-469,C21912-466
C21912-468,C21912-467
C21912-235,C21912-287
C21912-213,C21912-158
C21912-097,C21912-160
C21912-111,C21912-101
C21912-118,C21912-114
C21912-120,C21912-112
C21912-139,C21912-145
C21912-140,C21912-146
C21912-208,C21912-206
C21912-210,C21912-116
C21912-211,C21912-115
C21912-010,C21912-012
C21912-152,C21912-254
C46974,C21912-489
C31212,C21913
C23082,D00479
D00483,C48462
C25375,C28566
C38470,C24483
C23255,C51640
C43222,C34151
C24498,C51138
C21933,C26463
C22915,C22914
C51499,C36652
C51229,C44967
C48657,C35389
C45801,D00531
C23721,C28699
C46141,C38676
C45910,C51764
D00540,C23980
C34337,C48707
C36657,C48662
C44355,C32773
C51929,C28480
C27291,C51322
C42996,D00563
C42680,C27291
C44358,C46549
C32976,C31410
C42094,C48779
D00579,C43170
C25833,C27268
C25414,C51513
C23521,C30724
C27333,C28975
D00595,C40535
C39838,C45370
C34782,C52030
C45182,C22022
C24556,C35485
C34516,C29654
C36819,C38309
C31160,C42862
C32261,C32482
C46226,C26014
C25888,C25604
C25784,C31319
C41825,C33690
C27103,C29106
C24378,C27479
C27746,C35076
C32018,C46972
C24688,C42221
C30676,C22019
C45574,D00654
C48982,C24582
C36745,C46854
C32867,C39391
C38149,C41805
C32470,C36198
C35500,C49006
C41464,C38150
C31183,C40701
C38425,C24954
C26587,D00670
D00680,C24706
C49030,C44145
C26370,C37589
C37997,C47268
C27109,C51512
C36696,C36993
C25623,C32522
C29077,C42097
C23687,C43685
C42020,C27373
C39911,C41709
C35909,C28274
C35562,C28810
C40665-003,C40665-007
C40665-001,C40665-005
C40665-002,C40665-004
C37760,C23648
D00706,C39148
C38986,C24203
C32706,C28308
C24745,C37376
C38744,C36442
C39934,C29094
C30672,C24229
C22120,C44772
C42634,C22121
C44364,C30785
C28897,C49162
C28822,C41372
C49191,C46474
C36174,C24222
C22144,C26361
C39964,C37782
D00757,C43052
C45790,C21923
C24445,C40740
C42633,C30088
C40870,C49232
C23377,C42095
C39997,C36537
C32240,C47059
C35720,C26201
C25626,C43355
C25565,C51635
C23955,C24748
C25910,C46151
C34092,C45597
C51719,C43669
C25978,C47580
C26202,C46696
C26298,C27991
C28187,C47061
C34025,C45599
C40025,C45892
C24061,C49399
C30403,C23509
C27812,C44790
C27155,C22216
C38607,C27155
C28644,C26961
C44258,C49457
C26340,D00872
C22227,C28688
C40056,C40038
C40933,C28875
C22989,C47182
C31616,C46399
C22991,C24322
C34375,C22254
C24442,C26006
C26433,D00888
C41344,C34512
C49542,C23123
C43243,C45121
C35653,C27440
C24016,C49408
C28900,C24366
C26063,C34033
C49571,C41697
C45805,C47115
C27813,C26380
C24231,C27922
C28623,C28843
C43424,C44647
C46870,C25839
C22297,C36473
C29755,C36953
C28162,C49606
C29027,C30573
C30063,C31229
D00946,C34446
C25238,C22317
D00955,D00954
C35575,C40709
C22332,C21782
D00957,C28149
C32035,C31956
C35808,C39730
C23494,C23081
C40105,C23673
C40106,C34631
C24840,C50825
C30766,C37488
C23969,C39817
C24415,D00561
C30438,C48762
C49672,C27241
C26273,C46841
C45124,C48897
C26444,C30069
C45208,C25174
C35862,C27574
C37009,C49191
C22333,C47073
C23003,C29579
C40958,C27763
C39296,C49301
C40107,C25503
C31890,C22194
C39002,C34222
C23407,C39379
C38843,C27104
C26702,C46155
C22335,C42441
C24163,C23877
C49675,C51398
C31370,C32103
C30451,C51608
C32601,C22336
C49680,C30446
C22331,C43930
C27019,C41032
C47075,C36871
D00968,C49700
C40116,D00970
C42291,C42042
C31419,C30436
C36741,C42348
C30811,C28725
C25219,C40108
D00998,C39488
C23798,C35095
C27137,C25065
C41534,C23198
C37606,C50722
C36533,C30766
C39401,C22794
C35806,C30896
C51370,C23953
C47017,D01012
C34057,C35418
C46906,C30267
D01027,D01013
C35352,C34056
D01029,C29501
C41192,C42635
C41201,C45028
C35725,C34954
C42382,C41324
C40163,C36783
C25841,C29836
C29109,C24754
C25938,C21944
C46746,C45634
C41297,C40109
C23916,C25963
C39300,C45830
C38399,C23019
C37017,C44778
C28869,C29215
C27284,D01079
C22418,C49898
C22419,C31792
C34560,C38449
C49905,C23782
C46582,D01082
D01087,C43742
C23554,D00050
C45644,C45380
C49938,C27043
C51421,C36127
C40195,C49950
C50781,D01109
C40199,C51956
D01114,C27686
C51066,C29575
C50035,C24396
C24861,C35315
C28942,C27680
D01154,C22485
C51279,C32713
C51351,C30451
C44387,C37545
C30307,C43951
C24610,C51225
C29646,C38407
C42948,C45620
C51228,C40221
C38678,C22898
C45025,C24130
C44161,C38223
C47186,C33078
C39395,C40236
C33083,C50146
C26939,C35461
C46891,C26445
C43646,C25665
C31757,C43646
C36519,C26229
C29157,C41048
D01208,C26950
C50194,C51306
C43588,C35636
C27957,C36925
D01238,C40249
C23700,C26883
C30616,C38308
C28008,C30639
C43906,C43697
C35970,C24037
C38334,C42550
C32730,C24631
C46224,C35970
C41323,C41878
