Name,Sys ID,record_id,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,reason
12 Points Technologies LLC,C41756,C41756,12 Points Technologies LLC,12 points technologies,,,,12 points technologies;;,C38515;C41756,duplicate company or domain
1-2-5 Computing Services,C47602,C47602,1-2-5 Computing Services,1-2-5 computing services,,,,1-2-5 computing services;;,C25543;C47602,duplicate company or domain
13 Layers LLC,C47603,C47603,13 Layers LLC,13 layers,,,,13 layers;;,C35740;C47603,duplicate company or domain
1st Class Hosting. LLC,C39505,C39505,1st Class Hosting. LLC,1st class hosting,,,,1st class hosting;;,C39505;C43464,duplicate company or domain
"2 Redundant, LLC",C47607,C47607,"2 Redundant, LLC",2 redundant,,,,2 redundant;;,C23582;C47607,duplicate company or domain
24/7 Networks,C47609,C47609,24/7 Networks,24/7 networks,,,,24/7 networks;;,C40944;C47609,duplicate company or domain
"2W Technologies, INC",C43186,C43186,"2W Technologies, INC",2w technologies,,,,2w technologies;;,C28698;C43186,duplicate company or domain
329 Perry St.,C47612,C47612,329 Perry St.,329 perry st,,,,329 perry st;;,C35898;C47612,duplicate company or domain
360 Tech Hub Inc,C47613,C47613,360 Tech Hub Inc,360 tech hub,,,,360 tech hub;;,C43001;C47613,duplicate company or domain
"3Fold IT, LLC",C47615,C47615,"3Fold IT, LLC",3fold it,,,,3fold it;;,C23375;C47615,duplicate company or domain
"3GB Technology Solutions, LLC",C47616,C47616,"3GB Technology Solutions, LLC",3gb technology solutions,,,,3gb technology solutions;;,C35736;C47616,duplicate company or domain
"3rd Element Consulting, Inc",C38517,C38517,"3rd Element Consulting, Inc",3rd element consulting,,,,3rd element consulting;;,C27531;C38517,duplicate company or domain
4 Pair Communications LLC,C47618,C47618,4 Pair Communications LLC,4 pair communications,,,,4 pair communications;;,C42261;C47618,duplicate company or domain
"405IT, LLC",C47619,C47619,"405IT, LLC",405it,,,,405it;;,C23913;C47619,duplicate company or domain
"4n2n Solutions, LLC",C47621,C47621,"4n2n Solutions, LLC",4n2n solutions,,,,4n2n solutions;;,C26067;C47621,duplicate company or domain
5 Fold Technologies,C47622,C47622,5 Fold Technologies,5 fold technologies,,,,5 fold technologies;;,C36130;C47622,duplicate company or domain
5280 Digital Inc,C47624,C47624,5280 Digital Inc,5280 digital,,,,5280 digital;;,C28606;C47624,duplicate company or domain
"5i Solutions, Inc",C33585,C33585,"5i Solutions, Inc",5i solutions,,,,5i solutions;;,C33585;C47625,duplicate company or domain
79 Ratio,C47628,C47628,79 Ratio,79 ratio,,,,79 ratio;;,C24744;C47628,duplicate company or domain
813594 Enterprises LLC,C47629,C47629,813594 Enterprises LLC,813594 enterprises,,,,813594 enterprises;;,C40643;C47629,duplicate company or domain
91d3on Mining,C47635,C47635,91d3on Mining,91d3on mining,,,,91d3on mining;;,C25448;C47635,duplicate company or domain
A & H Technology Group,C38028,C38028,A & H Technology Group,a and h technology group,,,,a and h technology group;;,C27557;C38028,duplicate company or domain
A&J Technologies,C47637,C47637,A&J Technologies,a and j technologies,,,,a and j technologies;;,C34775;C47637,duplicate company or domain
A/V Dorks,C47639,C47639,A/V Dorks,a/v dorks,,,,a/v dorks;;,C25852;C47639,duplicate company or domain
A+ Datacomm,C47640,C47640,A+ Datacomm,a datacomm,,,,a datacomm;;,C35863;C47640,duplicate company or domain
"A1 Cleveland Service Agency, Inc.",C47642,C47642,"A1 Cleveland Service Agency, Inc.",a1 cleveland service agency,,,,a1 cleveland service agency;;,C23997;C47642,duplicate company or domain
A2U,C47643,C47643,A2U,a2u,,,,a2u;;,C26877;C47643,duplicate company or domain
A3 IT Solutions,C47644,C47644,A3 IT Solutions,a3 it solutions,,,,a3 it solutions;;,C30021;C47644,duplicate company or domain
"A3 Utah, LLC.",C21536,C21536,"A3 Utah, LLC.",a3 utah,,,,a3 utah;;,C21536;C47645,duplicate company or domain
Abacus Computers Inc.,C47648,C47648,Abacus Computers Inc.,abacus computers,,,,abacus computers;;,C47647;C47648,duplicate company or domain
Abacus Quality System Services Inc,C47649,C47649,Abacus Quality System Services Inc,abacus quality system services,,,,abacus quality system services;;,C43283;C47649,duplicate company or domain
"Abba Technologies, Inc.",C47650,C47650,"Abba Technologies, Inc.",abba technologies,,,,abba technologies;;,C29932;C47650,duplicate company or domain
ABD Technology Inc,C47651,C47651,ABD Technology Inc,abd technology,,,,abd technology;;,C43520;C47651,duplicate company or domain
Abidance Consulting,C47652,C47652,Abidance Consulting,abidance consulting,,,,abidance consulting;;,C23463;C47652,duplicate company or domain
AbovePoint Technologies,C47653,C47653,AbovePoint Technologies,abovepoint technologies,,,,abovepoint technologies;;,C23605;C47653,duplicate company or domain
Abrahams Consulting LLC,C47655,C47655,Abrahams Consulting LLC,abrahams consulting,,,,abrahams consulting;;,C36908;C47655,duplicate company or domain
"Absolut IT, LLC",C47657,C47657,"Absolut IT, LLC",absolut it,,,,absolut it;;,C25636;C47657,duplicate company or domain
Absolute Business Solutions LLC,C39520,C39520,Absolute Business Solutions LLC,absolute business solutions,,,,absolute business solutions;;,C39520;C46121,duplicate company or domain
Abtech Technologies,C46521,C46521,Abtech Technologies,abtech technologies,,,,abtech technologies;;,C26641;C46521,duplicate company or domain
"ACANTHUS TECHNOLOGY, LLC",C39066,C39066,"ACANTHUS TECHNOLOGY, LLC",acanthus technology,,,,acanthus technology;;,C24641;C39066,duplicate company or domain
"Accel Technology Group, LLC",C47659,C47659,"Accel Technology Group, LLC",accel technology group,,,,accel technology group;;,C39523;C47659,duplicate company or domain
ACCESS NETWORKS INC.,C39527,C39527,ACCESS NETWORKS INC.,access networks,,,,access networks;;,C39526;C39527;C51408,duplicate company or domain
"ACCESS NETWORKS, INC.",C51408,C51408,"ACCESS NETWORKS, INC.",access networks,,,,access networks;;,C39526;C39527;C51408,duplicate company or domain
Access Systems,C43845,C43845,Access Systems,access systems,,,,access systems;;,C32952;C35339;C43845,duplicate company or domain
"Access Systems, Inc.",C32952,C32952,"Access Systems, Inc.",access systems,,,,access systems;;,C32952;C35339;C43845,duplicate company or domain
Accounting Technology Specialists,C47664,C47664,Accounting Technology Specialists,accounting technology specialists,,,,accounting technology specialists;;,C42898;C47664,duplicate company or domain
Accutek Technologies,C47665,C47665,Accutek Technologies,accutek technologies,,,,accutek technologies;;,C35980;C47665,duplicate company or domain
Achieve Networks,C47666,C47666,Achieve Networks,achieve networks,,,,achieve networks;;,C26884;C47666,duplicate company or domain
Acmera Corporation,C47667,C47667,Acmera Corporation,acmera,,,,acmera;;,C33028;C47667,duplicate company or domain
ACP Technologies,C47668,C47668,ACP Technologies,acp technologies,,,,acp technologies;;,C29001;C47668,duplicate company or domain
"Action Computer Services, LLC",C41598,C41598,"Action Computer Services, LLC",action computer services,,,,action computer services;;,C37396;C41598,duplicate company or domain
Action Network Solutions,C47671,C47671,Action Network Solutions,action network solutions,,,,action network solutions;;,C21548;C47671,duplicate company or domain
"Action Technology Services, Inc.",C47672,C47672,"Action Technology Services, Inc.",action technology services,,,,action technology services;;,C25563;C47672,duplicate company or domain
Active Networks,C47673,C47673,Active Networks,active networks,,,,active networks;;,C33105;C45977;C47673,duplicate company or domain
"Active Networks, LLC",C45977,C45977,"Active Networks, LLC",active networks,,,,active networks;;,C33105;C45977;C47673,duplicate company or domain
"Active Remote Management & Support Services, LLC.",C47674,C47674,"Active Remote Management & Support Services, LLC.",active remote management and support services,,,,active remote management and support services;;,C31796;C47674,duplicate company or domain
"Acture Solutions, Inc.",C36555,C36555,"Acture Solutions, Inc.",acture solutions,,,,acture solutions;;,C36555;C45458,duplicate company or domain
Acumen Consulting,C47675,C47675,Acumen Consulting,acumen consulting,,,,acumen consulting;;,C28316;C47675,duplicate company or domain
Adam D Technology,C47676,C47676,Adam D Technology,adam d technology,,,,adam d technology;;,C30835;C47676,duplicate company or domain
"Adam Gross, Inc.",C47677,C47677,"Adam Gross, Inc.",adam gross,,,,adam gross;;,C24386;C47677,duplicate company or domain
Adams,C47678,C47678,Adams,adams,,,,adams;;,C24723;C47678,duplicate company or domain
"Adaptive Technology Solutions, LLC",C24246,C24246,"Adaptive Technology Solutions, LLC",adaptive technology solutions,,,,adaptive technology solutions;;,C24246;C39068,duplicate company or domain
ADC,C40697,C40697,ADC,adc,,,,adc;;,C38033;C40697,duplicate company or domain
"Adeara, Inc",C47680,C47680,"Adeara, Inc",adeara,,,,adeara;;,C26315;C47680,duplicate company or domain
Adela Technologies,C47681,C47681,Adela Technologies,adela technologies,,,,adela technologies;;,C27951;C47681,duplicate company or domain
"ADNET Technologies, Inc",C47683,C47683,"ADNET Technologies, Inc",adnet technologies,,,,adnet technologies;;,C24845;C47683,duplicate company or domain
adnet. inc,C38713,C38713,adnet. inc,adnet,,,,adnet;;,C38713;C42384,duplicate company or domain
Adrytech. LLC,C39533,C39533,Adrytech. LLC,adrytech,,,,adrytech;;,C39533;C47684,duplicate company or domain
"ADS Network Solutions, Inc.",C47685,C47685,"ADS Network Solutions, Inc.",ads network solutions,,,,ads network solutions;;,C30318;C47685,duplicate company or domain
"Adtel Solutions, Inc.",C47686,C47686,"Adtel Solutions, Inc.",adtel solutions,,,,adtel solutions;;,C33635;C47686,duplicate company or domain
Advance2000 inc.,C31505,C31505,Advance2000 inc.,advance2000,,,,advance2000;;,C31505;C51405,duplicate company or domain
Advanced Automation. Inc,C39535,C39535,Advanced Automation. Inc,advanced automation,,,,advanced automation;;,C37640;C39535,duplicate company or domain
"Advanced Business Technology, Inc.",C37134,C37134,"Advanced Business Technology, Inc.",advanced business technology,,,,advanced business technology;;,C24862;C37134;C47688,duplicate company or domain
"Advanced Business Technology, Inc.",C47688,C47688,"Advanced Business Technology, Inc.",advanced business technology,,,,advanced business technology;;,C24862;C37134;C47688,duplicate company or domain
ADVANCED COMMUNICATIONS,C47689,C47689,ADVANCED COMMUNICATIONS,advanced communications,,,,advanced communications;;,C21560;C29496;C32349;C47689,duplicate company or domain
Advanced Communications LLC,C29496,C29496,Advanced Communications LLC,advanced communications,,,,advanced communications;;,C21560;C29496;C32349;C47689,duplicate company or domain
"Advanced Communications, Inc.",C32349,C32349,"Advanced Communications, Inc.",advanced communications,,,,advanced communications;;,C21560;C29496;C32349;C47689,duplicate company or domain
"Advanced Computer Concepts, Inc",C45461,C45461,"Advanced Computer Concepts, Inc",advanced computer concepts,,,,advanced computer concepts;;,C32092;C45461,duplicate company or domain
ADVANCED COMPUTER ELECTRONICS INC,C47690,C47690,ADVANCED COMPUTER ELECTRONICS INC,advanced computer electronics,,,,advanced computer electronics;;,C29439;C47690,duplicate company or domain
"Advanced Consulting Enterprises, Inc.",C31837,C31837,"Advanced Consulting Enterprises, Inc.",advanced consulting enterprises,,,,advanced consulting enterprises;;,C31837;C41698,duplicate company or domain
Advanced Hospitality Technologies,C47691,C47691,Advanced Hospitality Technologies,advanced hospitality technologies,,,,advanced hospitality technologies;;,C31269;C47691,duplicate company or domain
"Advanced Industrial Devices, Inc. DBA DominoComp, Inc.",C47692,C47692,"Advanced Industrial Devices, Inc. DBA DominoComp, Inc.",advanced industrial devices dominocomp,,,,advanced industrial devices dominocomp;;,C31714;C47692,duplicate company or domain
