Unnamed: 0,Name,Sys ID,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,record_id,is_merged,merged_from,canonical_company
3823,Butler Technology Consulting,C35345,Butler Technology Consulting,butler technology consulting,,,,butler technology consulting;;,C35345,C35345,True,"['C35345', 'C42443']",butler technology consulting
5853,"Convergence Technologies, Inc",C29231,"Convergence Technologies, Inc",convergence technologies,,,,convergence technologies;;,C29231,C29231,True,"['C21791', 'C29231']",convergence technologies
5400,Computer Design and Integration,C31398,Computer Design and Integration,computer design and integration,,,,computer design and integration;;,C31398,C31398,True,"['C31325', 'C31398']",computer design and integration
0,"@ Your Service Consulting, LLC",C34104,"@ Your Service Consulting, LLC",your service consulting,,,,your service consulting;;,C34104,C34104,False,[],your service consulting
1,"0 Tolerance Security, LLC",C43930,"0 Tolerance Security, LLC",0 tolerance security,,,,0 tolerance security;;,C43930,C43930,False,[],0 tolerance security
2,"01 InfoTech, Inc.",C41032,"01 InfoTech, Inc.",01 infotech,,,,01 infotech;;,C41032,C41032,False,[],01 infotech
3,059,C44490,059,059,,,,059;;,C44490,C44490,False,[],059
4,"1 Accord Technologies, LLC",C27537,"1 Accord Technologies, LLC",1 accord technologies,,,,1 accord technologies;;,C27537,C27537,False,[],1 accord technologies
5,1 Alpha Outdoors LLC,C47297,1 Alpha Outdoors LLC,1 alpha outdoors,,,,1 alpha outdoors;;,C47297,C47297,False,[],1 alpha outdoors
6,"1 Click Solution, Inc.",C21523,"1 Click Solution, Inc.",1 click solution,,,,1 click solution;;,C21523,C21523,False,[],1 click solution
7,1 IT Source,C35342,1 IT Source,1 it source,,,,1 it source;;,C35342,C35342,False,[],1 it source
8,"1 MSP, LLC",C43739,"1 MSP, LLC",1 msp,,,,1 msp;;,C43739,C43739,False,[],1 msp
9,1 Network Services,C29668,1 Network Services,1 network services,,,,1 network services;;,C29668,C29668,False,[],1 network services
10,1 Point Networks,C45299,1 Point Networks,1 point networks,,,,1 point networks;;,C45299,C45299,False,[],1 point networks
11,1 Source IT Solutions,C42544,1 Source IT Solutions,1 source it solutions,,,,1 source it solutions;;,C42544,C42544,False,[],1 source it solutions
12,1 Stop Computer Shop Inc,C43159,1 Stop Computer Shop Inc,1 stop computer shop,,,,1 stop computer shop;;,C43159,C43159,False,[],1 stop computer shop
13,1 Stop IT Department,C26985,1 Stop IT Department,1 stop it department,,,,1 stop it department;;,C26985,C26985,False,[],1 stop it department
14,1 STOP IT DEPT LLC,C39064,1 STOP IT DEPT LLC,1 stop it dept,,,,1 stop it dept;;,C39064,C39064,False,[],1 stop it dept
15,1+1 Technology,C34229,1+1 Technology,1 1 technology,,,,1 1 technology;;,C34229,C34229,False,[],1 1 technology
16,10 Krypto LLC,D00001,10 Krypto LLC,10 krypto,,,,10 krypto;;,D00001,D00001,False,[],10 krypto
